ParticipantID,SessionDate,Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc,Coh,Run,DegPSec,Gender,Race,Ethnicity,Language,Setting,State,SpeedOrder,AgeYears,Age,SubID,Speed
1,Oct-14,4,13,radial,0.15,0,L,1.9038,TRUE,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,4,13,linear,0,0.15,L,1.368,FALSE,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,4,14,linear,0.15,0,L,2.155,TRUE,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,4,14,linear,0,0.2,R,1.2012,TRUE,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,4,15,radial,0,0.1,R,1.7182,TRUE,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,4,15,linear,0.1,0,L,1.2253,TRUE,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,4,16,radial,0.1,0,R,2.7358,FALSE,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,4,16,linear,0,0.05,R,1.529,TRUE,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,5,1,radial,0.2,0,L,0.95111,TRUE,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,5,1,linear,0.2,0,L,0.83767,TRUE,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,5,2,linear,0.1,0,L,2.052,TRUE,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,5,2,radial,0.15,0,L,1.0844,TRUE,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,5,3,linear,0.2,0,L,1.2381,TRUE,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,5,3,linear,0,0.1,R,1.9183,TRUE,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,5,4,radial,0,0.05,L,1.5014,FALSE,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,5,4,radial,0.1,0,L,0.95109,TRUE,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,5,5,radial,0,0.2,R,1.785,TRUE,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,5,5,linear,0.15,0,L,0.98398,TRUE,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,5,6,linear,0.05,0,L,2.9196,TRUE,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,5,6,radial,0,0.15,L,1.9183,FALSE,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,5,7,linear,0,0.2,R,0.95095,TRUE,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,5,7,radial,0,0.2,R,1.0847,TRUE,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,5,8,radial,0,0.15,R,0.90103,TRUE,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,5,8,radial,0.05,0,R,1.3514,FALSE,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,5,9,radial,0.05,0,R,2.1556,FALSE,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,5,9,linear,0.05,0,L,0.834,TRUE,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,5,10,radial,0.15,0,L,1.0681,TRUE,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,5,10,linear,0,0.15,R,1.8683,TRUE,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,5,11,radial,0,0.1,R,1.4945,TRUE,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,5,11,linear,0,0.2,R,1.0009,TRUE,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
