ParticipantID,SessionDate,Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc,Coh,Run,DegPSec,Gender,Race,Ethnicity,Language,Setting,State,SpeedOrder,AgeYears
1,Oct-2014,5,15,radial,0.2,0,L,1.468,1,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,16,linear,0.15,0,L,1.718,1,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,16,linear,0,0.05,R,3.2529,1,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,1,linear,0.1,0,R,2.6154,0,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8-2-8,21.90554415
1,Oct-2014,1,1,linear,0.1,0,L,1.1177,1,0.1,3,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8-2-8,21.90554415
1,Oct-2014,1,1,radial,0.15,0,L,1.8853,1,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8-2-8,21.90554415
1,Oct-2014,1,1,radial,0.15,0,L,1.2344,1,0.15,4,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8-2-8,21.90554415
1,Oct-2014,1,2,linear,0.2,0,L,1.7685,1,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8-2-8,21.90554415
1,Oct-2014,1,2,linear,0.2,0,L,0.88429,1,0.2,3,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8-2-8,21.90554415
1,Oct-2014,1,2,radial,0.1,0,R,3.1692,0,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8-2-8,21.90554415
1,Oct-2014,1,2,radial,0.1,0,L,1.6085,1,0.1,4,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8-2-8,21.90554415
1,Oct-2014,1,3,radial,0.2,0,L,0.98448,1,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8-2-8,21.90554415
1,Oct-2014,1,3,radial,0.2,0,L,1.0009,1,0.2,3,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8-2-8,21.90554415
1,Oct-2014,1,3,radial,0,0.15,R,1.1596,1,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8-2-8,21.90554415
1,Oct-2014,1,3,radial,0,0.15,R,0.86817,1,0.15,4,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8-2-8,21.90554415
1,Oct-2014,1,4,linear,0.05,0,L,3.286,1,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8-2-8,21.90554415
1,Oct-2014,1,4,linear,0.05,0,R,1.2698,0,0.05,3,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8-2-8,21.90554415
1,Oct-2014,1,4,radial,0,0.2,R,1.3678,1,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8-2-8,21.90554415
1,Oct-2014,1,4,radial,0,0.2,R,1.101,1,0.2,4,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8-2-8,21.90554415
1,Oct-2014,1,5,linear,0,0.2,L,1.8017,0,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8-2-8,21.90554415
1,Oct-2014,1,5,linear,0,0.2,L,0.81755,0,0.2,3,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8-2-8,21.90554415
